LP.LPI.CUST.RK	LP.LPI.CUST.XQ	LP.LPI.INFR.RK	LP.LPI.INFR.XQ	LP.LPI.ITRN.RK	LP.LPI.ITRN.XQ	LP.LPI.LOGS.RK	LP.LPI.LOGS.XQ	LP.LPI.OVRL.RK	LP.LPI.OVRL.RK.ZS	LP.LPI.OVRL.XQ	LP.LPI.TIME.RK	LP.LPI.TIME.XQ	LP.LPI.TRAC.RK	LP.LPI.TRAC.XQ
150.0	1.3	150.0	1.1	150.0	1.22222	150.0	1.25	150.0	6.63470449418892	1.21166935036926	150.0	1.375	150.0	1.0
71.0	2.4	88.0	2.25	87.0	2.5	81.0	2.5	86.0	46.31242861862351	2.47752197378388	100.0	2.83333	94.0	2.375
132.0	2.0	78.0	2.33333	109.0	2.33333	130.0	2.0	139.0	33.895378279053	2.08137637586293	144.0	2.125	145.0	1.66667
20.0	3.5161300000000004	18.0	3.8035699999999997	13.0	3.6785699999999997	20.0	3.66667	20.0	85.4950999933008	3.7275807522681896	17.0	4.12	23.0	3.60784
51.0	2.64865	47.0	2.80556	49.0	2.9697	44.0	3.0	45.0	62.1397809619075	2.9824676562182098	46.0	3.5	46.0	3.0
118.0	2.1	143.0	1.77778	140.0	2.0	121.0	2.11111	131.0	35.633200106540606	2.1368187271543797	122.0	2.625	113.0	2.22222
17.0	3.58333	20.0	3.6470599999999997	12.0	3.71875	19.0	3.7575800000000004	17.0	87.46224453479451	3.7903392681214796	20.0	4.1	12.0	3.96875
8.0	3.83333	8.0	4.06061	3.0	3.9666699999999997	4.0	4.13333	5.0	95.9953393180262	4.06257364283823	3.0	4.44444	13.0	3.9655199999999997
95.0	2.23077	116.0	2.0	90.0	2.5	128.0	2.0	111.0	40.4658826281404	2.2909975260419397	124.0	2.625	96.0	2.375
103.0	2.2	62.0	2.5	84.0	2.5	80.0	2.5	113.0	40.3932978181059	2.28868182688757	148.0	2.0	127.0	2.0
